Object,Date,Price,Location,Seller,Image,Link
ANCIENT SAXON / ROMAN SPEAR HEAD 28CM. LONG WITH LETTER FROM MUSEUM,,50.00,"Skegness, United Kingdom",helenherts,https://i.ebayimg.com/images/g/ctEAAOSwIOFerBfo/s-l400.jpg,https://www.ebay.co.uk/itm/ANCIENT-SAXON-ROMAN-SPEAR-HEAD-28CM-LONG-WITH-LETTER-FROM-MUSEUM/283864692502?hash=item4217a77716:g:ctEAAOSwIOFerBfo
metal detecting finds,,40.00,"BRISTON NORFOLK , United Kingdom",gemmaduffield,https://i.ebayimg.com/images/g/S4oAAOSwja5eq-p~/s-l400.jpg,https://www.ebay.co.uk/itm/metal-detecting-finds/153915876147?hash=item23d619e333:g:S4oAAOSwja5eq-p~
Viking pin irish mudlarking find rare,,120.00,"Bushmills, United Kingdom",irish-mudlark,https://i.ebayimg.com/images/g/NfUAAOSwK~9eqz8H/s-l400.jpg,https://www.ebay.co.uk/itm/Viking-pin-irish-mudlarking-find-rare/293564855925?hash=item4459d43675:g:NfUAAOSwK~9eqz8H
Anglo Saxon Brooch/pendant Metal Detectig,,10.53,"Norwich, United Kingdom",darkknight72,https://i.ebayimg.com/images/g/QdcAAOSw6nperG4i/s-l400.jpg,https://www.ebay.co.uk/itm/Anglo-Saxon-Brooch-pendant-Metal-Detectig/193446198810?hash=item2d0a4abe1a:g:QdcAAOSw6nperG4i
Metal Detecting Finds,,10.00,"Airdrie, United Kingdom",super_ally,https://i.ebayimg.com/images/g/EecAAOSwHcxerUza/s-l400.jpg,https://www.ebay.co.uk/itm/Metal-Detecting-Finds/153916558519?hash=item23d6244cb7:g:EecAAOSwHcxerUza
METAL DETECTOR FINDS 50 BUTTONS FROM EAST ANGLIA SUFFOLK ANTIQUITIES BRITISH,,0.99,"Scotland, United Kingdom",br4091165,https://i.ebayimg.com/images/g/1D4AAOSw-D1eodeP/s-l400.jpg,https://www.ebay.co.uk/itm/METAL-DETECTOR-FINDS-50-BUTTONS-FROM-EAST-ANGLIA-SUFFOLK-ANTIQUITIES-BRITISH/124164022017?hash=item1ce8c09f01:g:1D4AAOSw-D1eodeP
Selection Of Metal Detecting Finds,,14.99,"Thatcham, United Kingdom",allan43608,https://i.ebayimg.com/images/g/25sAAOSw6qperVzE/s-l400.jpg,https://www.ebay.co.uk/itm/Selection-Of-Metal-Detecting-Finds/402250712717?hash=item5da802c68d:g:25sAAOSw6qperVzE
VERY RARE ANCIENT EGYPTIAN ALABASTER VESSEL 300 B.C. (1),,21.00,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/SaIAAOSwG3JepsmN/s-l400.jpg,https://www.ebay.co.uk/itm/VERY-RARE-ANCIENT-EGYPTIAN-ALABASTER-VESSEL-300-B-C-1/313065750401?hash=item48e42c3f81:g:SaIAAOSwG3JepsmN
Metal detecting finds Antique unusual intricate Silver Boat Figure,,0.99,"Chippenham, United Kingdom",j11974-2,https://i.ebayimg.com/images/g/-I4AAOSwfDVerHi5/s-l400.jpg,https://www.ebay.co.uk/itm/Metal-detecting-finds-Antique-unusual-intricate-Silver-Boat-Figure/184275224918?hash=item2ae7a8c956:g:-I4AAOSwfDVerHi5
vintage silver brooch,,20.00,"London, United Kingdom",adma-490495,https://i.ebayimg.com/images/g/dk0AAOSwSPVerAi8/s-l400.jpg,https://www.ebay.co.uk/itm/vintage-silver-brooch/184274687649?hash=item2ae7a096a1:g:dk0AAOSwSPVerAi8
RARE ANCIENT GREEK SILVER COIN RING (3),,9.90,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/hSEAAOSwz2BeLtwv/s-l400.jpg,https://www.ebay.co.uk/itm/RARE-ANCIENT-GREEK-SILVER-COIN-RING-3/313065812976?hash=item48e42d33f0:g:hSEAAOSwz2BeLtwv
Nice Ei Y Dand Vintage Silver Brooch,,20.00,"London, United Kingdom",adma-490495,https://i.ebayimg.com/images/g/aUQAAOSwFLperAda/s-l400.jpg,https://www.ebay.co.uk/itm/Nice-Ei-Y-Dand-Vintage-Silver-Brooch/184274683052?hash=item2ae7a084ac:g:aUQAAOSwFLperAda
Ultra Rare Huge Stone Age Ancient Neolithic Anthropomorphic Idol 4500BC (4),,16.00,"Forest Row, East Sussex, United Kingdom",hands_of_history,https://i.ebayimg.com/images/g/CsgAAOSwq3hepsm9/s-l400.jpg,https://www.ebay.co.uk/itm/Ultra-Rare-Huge-Stone-Age-Ancient-Neolithic-Anthropomorphic-Idol-4500BC-4/313065750904?hash=item48e42c4178:g:CsgAAOSwq3hepsm9
Medieval Bronze Seal Matrix - very nice Condition.,,149.00,"London, United Kingdom",zokasas,https://i.ebayimg.com/images/g/f5gAAOSwG5teR5Yz/s-l400.jpg,https://www.ebay.co.uk/itm/Medieval-Bronze-Seal-Matrix-very-nice-Condition/202979889935?hash=item2f428b530f:g:f5gAAOSwG5teR5Yz
